Accesion,Organism,Source
LN590705.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583074.1,Vitis riparia,Vitis riparia (riverbank grape)
XM_033587231.1,Didymella exigua CBS 183.55,Didymella exigua CBS 183.55
CP058349.1,Pseudomonas sp. ABC1,Pseudomonas sp. ABC1
LC183535.1,Dioon merolae,Dioon merolae
CP070866.1,Acinetobacter johnsonii,Acinetobacter johnsonii
HM753692.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_043318179.1,Alternaria atra,Alternaria atra
MH378441.1,Sinsheimervirus phiX174,Sinsheimervirus phiX174
CP104323.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XM_031430209.1,Pistacia vera,Pistacia vera
LN593390.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG841927.1,Pinus nigra,Pinus nigra
LT629687.1,Pseudomonas koreensis,Pseudomonas koreensis
CP061884.1,Alternaria alternata,Alternaria alternata
XM_016887328.2,Gossypium hirsutum,Gossypium hirsutum (cotton)
MW182673.1,Fusarium nepalense,mitochondrion Fusarium nepalense
GU476447.1,Metrosideros parkinsonii,Metrosideros parkinsonii
CP025780.1,Stenotrophomonas sp. Pemsol,Stenotrophomonas sp. Pemsol
CP044092.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP001655.1,Dickeya chrysanthemi Ech1591,Dickeya chrysanthemi Ech1591
MW448456.1,Pachyrhizus erosus,mitochondrion Pachyrhizus erosus
CP034474.1,Pantoea agglomerans,Pantoea agglomerans
NC_053885.1,Tuber calosporum,mitochondrion Tuber calosporum
CP087202.1,Pseudomonas asplenii,Pseudomonas asplenii
MW583110.1,Ampelopsis cordata,Ampelopsis cordata
CP024646.1,Pseudomonas syringae,Pseudomonas syringae
CP034791.1,Caldicellulosiruptor changbaiensis,Caldicellulosiruptor changbaiensis
OW967975.1,Escherichia coli,Escherichia coli
CP113258.1,Stutzerimonas sp. R40042,Stutzerimonas sp. R40042
HM753688.1,Escherichia phage phiX174,Escherichia phage phiX174
MN935429.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP023126.1,Lupinus angustifolius,Lupinus angustifolius (narrow-leaved blue lupine)
CP033028.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
JQ764990.1,Escherichia phage phiX174,Escherichia phage phiX174
AE015451.2,Pseudomonas putida KT2440,Pseudomonas putida KT2440
LT855380.1,Pseudomonas viridiflava,Pseudomonas viridiflava
CP027731.1,Pseudomonas sp. R2-60-08W,Pseudomonas sp. R2-60-08W
AM235531.1,Leptospermum scoparium,Leptospermum scoparium
MW182648.1,Fusarium acaciae-mearnsii,mitochondrion Fusarium acaciae-mearnsii
LC580285.1,Synthliboramphus antiquus,Synthliboramphus antiquus (ancient murrelet)
MG841904.1,Pinus nigra,Pinus nigra
XR_002394018.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MN935402.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP069594.1,Pseudomonas sp. Y39-6,Pseudomonas sp. Y39-6
CP011525.1,Pseudomonas sp. JY-Q,Pseudomonas sp. JY-Q
LN596203.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP045870.1,Klebsiella aerogenes,Klebsiella aerogenes
OL824857.1,Phytolacca acinosa,Phytolacca acinosa (food pokeweed)
CP079792.1,Acinetobacter johnsonii,Acinetobacter johnsonii
OX326967.1,Medicago arabica,Medicago arabica
NC_053919.1,Glycyrrhiza uralensis,mitochondrion Glycyrrhiza uralensis
CP039631.3,Pseudomonas veronii,Pseudomonas veronii
CP063455.1,Pseudomonas protegens,Pseudomonas protegens
XM_028943715.1,Prosopis alba,Prosopis alba
CP094975.1,Pseudomonas sp. PIA16,Pseudomonas sp. PIA16
LC597669.1,synthetic construct,synthetic construct
LC597789.1,synthetic construct,synthetic construct
KU666552.1,Hypomyces aurantius,mitochondrion Hypomyces aurantius
CP038383.1,Escherichia coli O55:H7,Escherichia coli O55:H7
CP107549.1,Pseudomonas sp. Z8(2022),Pseudomonas sp. Z8(2022)
MN935427.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
MZ366785.1,Opuntia retrorsa,Opuntia retrorsa
LN599307.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP061880.1,Alternaria alternata,Alternaria alternata
CP001867.1,Geodermatophilus obscurus DSM 43160,Geodermatophilus obscurus DSM 43160
CP081186.1,Glycomyces sp. TRM65418,Glycomyces sp. TRM65418
MG842036.1,Pinus nigra,Pinus nigra
BK029298.1,Bacteriophage sp.,Bacteriophage sp. (Human Metagenome)
XR_008229498.1,Lactuca sativa,Lactuca sativa
HM753680.1,Escherichia phage phiX174,Escherichia phage phiX174
CP097271.1,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis subsp. piscium
XM_018524973.1,Alternaria alternata,Alternaria alternata
CP036212.1,Cercospora sojina,Cercospora sojina
LN595583.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP087166.1,Pseudomonas sp. B21-051,Pseudomonas sp. B21-051
CP027744.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
NC_063318.1,Paraisaria gracilis,mitochondrion Paraisaria gracilis
CP073636.1,Pseudomonas syringae Cit 7,Pseudomonas syringae Cit 7
CP027561.1,Pseudomonas fluorescens,Pseudomonas fluorescens
KY537967.1,Stachyurus yunnanensis,Stachyurus yunnanensis
CP075567.1,Pseudomonas fitomaticsae,Pseudomonas fitomaticsae
CP039917.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XM_021428956.1,Herrania umbratica,Herrania umbratica
JF719726.1,Escherichia phage phiX174,Escherichia phage phiX174
GU476451.1,Metrosideros umbellata,Metrosideros umbellata
OV196000.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP048465.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XM_021906183.1,Chenopodium quinoa,Chenopodium quinoa (quinoa)
CP002164.1,Caldicellulosiruptor obsidiansis OB47,Caldicellulosiruptor obsidiansis OB47
CP062162.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
LC597756.1,synthetic construct,synthetic construct
JX163452.1,Chamaecrista fasciculata,Chamaecrista fasciculata
OX359264.1,Hedera helix,Hedera helix
XM_044631313.1,Mangifera indica,Mangifera indica (mango)
U42828.1,Mollugo verticillata,Mollugo verticillata
XR_008229508.1,Lactuca sativa,Lactuca sativa
CP017297.1,Brachybacterium sp. P6-10-X1,Brachybacterium sp. P6-10-X1
MZ959063.1,Actinidia eriantha,mitochondrion Actinidia eriantha
CP087196.1,Pseudomonas sp. B21-015,Pseudomonas sp. B21-015
XR_002394042.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP038854.1,Pantoea vagans,Pantoea vagans
MZ751077.1,Mangifera sylvatica,mitochondrion Mangifera sylvatica
CP046103.1,Pseudomonas sp. IB20,Pseudomonas sp. IB20
LN590717.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP045858.1,Stutzerimonas balearica,Stutzerimonas balearica
CP068440.1,Pantoea agglomerans,Pantoea agglomerans
CP062253.1,Pseudomonas gozinkensis,Pseudomonas gozinkensis
CP048486.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LN591675.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP068206.1,Acinetobacter johnsonii,Acinetobacter johnsonii
XR_002394007.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP017432.1,Pseudomonas sp. Lz4W,Pseudomonas sp. Lz4W
MN935424.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
OL824853.1,Phytolacca thyrsiflora,Phytolacca thyrsiflora
LC183524.1,Dioon edule,Dioon edule
JQ440757.1,Pinus cembra,Pinus cembra
LN590691.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP001393.1,Caldicellulosiruptor bescii DSM 6725,Caldicellulosiruptor bescii DSM 6725
CP088242.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP040432.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP113505.1,Arthrobacter sp. FX8,Arthrobacter sp. FX8
XM_019560257.1,Lupinus angustifolius,Lupinus angustifolius (narrow-leaved blue lupine)
GU476435.1,Agonis flexuosa,Agonis flexuosa
LN593336.1,Cyprinus carpio,Cyprinus carpio (common carp)
OP723656.1,Lagerstroemia indica,Lagerstroemia indica
LT629761.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
CP067993.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
OU745390.1,Pseudomonas sp. Marseille-Q3773,Pseudomonas sp. Marseille-Q3773
CP034688.1,Pseudomonas citronellolis,Pseudomonas citronellolis
XM_044632462.1,Mangifera indica,Mangifera indica (mango)
CP100551.1,Pseudomonas sp. KHPS1,Pseudomonas sp. KHPS1
KY528810.1,Citrus clementina,Citrus clementina
LN593611.1,Cyprinus carpio,Cyprinus carpio (common carp)
AM235528.1,Eucalyptus lehmannii,Eucalyptus lehmannii
MW583105.1,Cissus antarctica,Cissus antarctica
CP087179.1,Pseudomonas sp. B21-035,Pseudomonas sp. B21-035
XR_004799251.1,Juglans regia,Juglans regia (English walnut)
HQ348939.1,Pinus ayacahuite,Pinus ayacahuite
CP080625.1,Pseudomonas sp. S07E 245,Pseudomonas sp. S07E 245
LN594584.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_046136495.1,Boeremia exigua,Boeremia exigua
KY538009.1,Sonchus asper,Sonchus asper
BK045202.1,Caudovirales sp.,Caudovirales sp. (Human Metagenome)
CP083759.1,Acinetobacter pseudolwoffii,Acinetobacter pseudolwoffii
CP090180.1,Acinetobacter johnsonii,Acinetobacter johnsonii
LN590698.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP095269.1,Agrococcus sp. SCSIO52902,Agrococcus sp. SCSIO52902
CP063454.1,Pseudomonas putida,Pseudomonas putida
HM753683.1,Escherichia phage phiX174,Escherichia phage phiX174
MW583108.1,Ampelocissus ascendiflora,Ampelocissus ascendiflora
CP061876.1,Alternaria alternata,Alternaria alternata
CP084625.1,Pseudomonas lalkuanensis,Pseudomonas lalkuanensis
AP019301.1,Prunus dulcis,Prunus dulcis (almond)
LN593842.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP060818.1,Pantoea ananatis,Pantoea ananatis
CP060201.1,Pseudomonas protegens,Pseudomonas protegens
XR_002394022.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP113085.1,Pantoea agglomerans,Pantoea agglomerans
XM_031391294.1,Pistacia vera,Pistacia vera
CP015638.1,Pseudomonas fluorescens,Pseudomonas fluorescens
XM_038842205.1,Tripterygium wilfordii,Tripterygium wilfordii
OP723657.1,Lagerstroemia indica,Lagerstroemia indica
OX241174.1,Danio rerio,Danio rerio (zebrafish)
XR_008229523.1,Lactuca sativa,Lactuca sativa
NC_045036.1,Spondias tuberosa,mitochondrion Spondias tuberosa
OM970793.1,Limnanthes floccosa subsp. bellingeriana,Limnanthes floccosa subsp. bellingeriana
LT629689.1,Pseudomonas extremaustralis,Pseudomonas extremaustralis
CP092923.1,Pseudomonas syringae pv. tagetis,Pseudomonas syringae pv. tagetis
CP041354.1,Pseudomonas aeruginosa,Pseudomonas aeruginosa
XM_033704485.1,Macroventuria anomochaeta,Macroventuria anomochaeta
MZ747311.1,Stylosanthes macrocephala,mitochondrion Stylosanthes macrocephala
CP048478.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP048590.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
MG841972.1,Pinus nigra,Pinus nigra
LN591051.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP066169.2,Pseudomonas simiae,Pseudomonas simiae
LC183537.1,Dioon purpusii,Dioon purpusii
CP003961.1,Pseudomonas sp. VLB120,Pseudomonas sp. VLB120
CP090366.1,Stutzerimonas kunmingensis,Stutzerimonas kunmingensis
CP019702.2,Agrobacterium rhizogenes,Agrobacterium rhizogenes (Rhizobium rhizogenes)
MN935416.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
NC_045040.1,Haematoxylum brasiletto,mitochondrion Haematoxylum brasiletto
HM753696.1,Escherichia phage phiX174,Escherichia phage phiX174
OK523375.1,Cannabis sativa,mitochondrion Cannabis sativa
CP031229.1,Ornithinimicrobium avium,Ornithinimicrobium avium
KX904877.1,Fargesia denudata,chloroplast Fargesia denudata
CP048529.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
MW182650.1,Fusarium aethiopicum,mitochondrion Fusarium aethiopicum
CP043980.1,Candidatus Stammera capleta,Candidatus Stammera capleta (insect metagenome)
ON687736.1,Mycobacterium phage Kashi_RDG1,Mycobacterium phage Kashi_RDG1
XM_050078265.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
LC597743.1,synthetic construct,synthetic construct
CP070980.1,Pseudomonas rhodesiae,Pseudomonas rhodesiae
ON478168.1,Prunus mira,mitochondrion Prunus mira
LN591306.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP032245.1,Gossypioides kirkii,Gossypioides kirkii
CP001895.1,Pantoea vagans C9-1,Pantoea vagans C9-1
CP039898.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LN593298.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP092893.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
OP723662.1,Lagerstroemia indica,Lagerstroemia indica
CP032564.1,Gossypium raimondii,Gossypium raimondii
CP043578.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MG841905.1,Pinus nigra,Pinus nigra
XM_004503290.3,Cicer arietinum,Cicer arietinum (chickpea)
MW182661.1,Fusarium cortaderiae,mitochondrion Fusarium cortaderiae
OV196492.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP089551.1,Pseudomonas sp. 7-41,Pseudomonas sp. 7-41
CP015992.1,Pseudomonas sp. TCU-HL1,Pseudomonas sp. TCU-HL1
NC_065066.1,Prunus schneideriana,mitochondrion Prunus schneideriana
LC183526.1,Dioon edule,Dioon edule
CP048778.1,Klebsiella pneumoniae,Klebsiella pneumoniae
CP040433.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP099421.1,Septoria linicola,Septoria linicola (Mycosphaerella linicola)
MF389956.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
LC183529.1,Dioon holmgrenii,Dioon holmgrenii
CP032572.1,Gossypium turneri,Gossypium turneri
AK450787.1,Triticum aestivum,Triticum aestivum (bread wheat)
LR890616.1,Klebsiella pneumoniae,Klebsiella pneumoniae
XM_021864691.1,Chenopodium quinoa,Chenopodium quinoa (quinoa)
CP038147.1,Streptomyces sp. S501,Streptomyces sp. S501
HM753707.1,Escherichia phage phiX174,Escherichia phage phiX174
CP027749.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
LN591505.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP072137.1,Agrobacterium sp. S7/73,Agrobacterium sp. S7/73
GQ153912.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590674.1,Cyprinus carpio,Cyprinus carpio (common carp)
GQ153913.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_008229546.1,Lactuca sativa,Lactuca sativa
HM753685.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_021864692.1,Chenopodium quinoa,Chenopodium quinoa (quinoa)
MN935413.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XM_028645996.1,Alternaria arborescens,Alternaria arborescens
CP027728.1,Pseudomonas sp. R2-37-08W,Pseudomonas sp. R2-37-08W
XR_008226142.1,Lactuca sativa,Lactuca sativa
MW717908.1,Zelkova schneideriana,mitochondrion Zelkova schneideriana
CP028358.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP049737.1,Pseudomonas sp. AN-B15,Pseudomonas sp. AN-B15
MG841954.1,Pinus nigra,Pinus nigra
MT610940.1,Heliopsis helianthoides,Heliopsis helianthoides
HM753717.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_008229543.1,Lactuca sativa,Lactuca sativa
LC597788.1,synthetic construct,synthetic construct
AP024331.1,Erwinia rhapontici,Erwinia rhapontici
CP032788.1,Corynebacterium xerosis,Corynebacterium xerosis
XM_046171500.1,Alternaria rosae,Alternaria rosae
CP027741.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP048559.1,Agrobacterium fabrum,Agrobacterium fabrum
LN591049.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP066546.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
CP106759.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
BK039092.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
CP024263.1,Escherichia coli O169:H41,Escherichia coli O169:H41
CP090416.1,Acinetobacter johnsonii,Acinetobacter johnsonii
XM_021906184.1,Chenopodium quinoa,Chenopodium quinoa (quinoa)
CP081490.1,Pseudomonas protegens,Pseudomonas protegens
CP114463.1,Coriaria nepalensis,Coriaria nepalensis
MW583048.1,Vitis ficifolia,Vitis ficifolia
CP040430.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP091189.1,Pantoea agglomerans,Pantoea agglomerans
OV197487.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP065607.1,Escherichia coli,Escherichia coli
MW583076.1,Vitis arizonica,Vitis arizonica
CP114480.1,Coriaria nepalensis,Coriaria nepalensis
OX328280.1,Chamaenerion angustifolium,Chamaenerion angustifolium
XR_008229559.1,Lactuca sativa,Lactuca sativa
LN592338.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_033706722.1,Macroventuria anomochaeta,Macroventuria anomochaeta
CP040174.1,Arthrobacter sp. UKPF54-2,Arthrobacter sp. UKPF54-2
CP052503.1,Klebsiella pneumoniae,Klebsiella pneumoniae
MW583062.1,Vitis balansana,Vitis balansana
OP723643.1,Lagerstroemia indica,Lagerstroemia indica
CP065410.1,Pseudomonas sp. IAC-BECa141,Pseudomonas sp. IAC-BECa141
CP095189.1,Cercospora sp. J1 LZ-2022,Cercospora sp. J1 LZ-2022
XR_007573240.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
CP040641.1,Agrobacterium sp. T29,Agrobacterium sp. T29
LN591199.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP040436.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
EF380021.1,Escherichia phage phiX174,Escherichia phage phiX174
CP054868.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
LC183549.1,Dioon tomasellii,Dioon tomasellii
XR_006498398.1,Mangifera indica,Mangifera indica (mango)
CP028899.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP019431.1,Pseudomonas sp. S35,Pseudomonas sp. S35
AP012599.1,Vigna angularis,mitochondrion Vigna angularis (adzuki bean)
XR_008193603.1,Gossypium raimondii,Gossypium raimondii
CP087201.1,Pseudomonas sp. B21-059,Pseudomonas sp. B21-059
MW182674.1,Fusarium nepalense,mitochondrion Fusarium nepalense
OL824851.1,Phytolacca polyandra,Phytolacca polyandra
CP048800.1,Klebsiella pneumoniae,Klebsiella pneumoniae
CP022314.1,Arthrobacter sp. PM3,Arthrobacter sp. PM3
CP007509.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
AP022642.1,Pseudomonas otitidis,Pseudomonas otitidis
MT975322.1,Prunus avium,mitochondrion Prunus avium (sweet cherry)
XM_011690559.1,Wasmannia auropunctata,Wasmannia auropunctata (little fire ant)
CP002433.1,Pantoea sp. At-9b,Pantoea sp. At-9b
LN590701.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753679.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_008229554.1,Lactuca sativa,Lactuca sativa
CP022427.1,Pantoea ananatis,Pantoea ananatis
XM_011096540.2,Sesamum indicum,Sesamum indicum (sesame)
MW133764.1,Entamoeba sp.,Entamoeba sp.
LN592861.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP094495.1,Streptomyces radiopugnans,Streptomyces radiopugnans
CP039255.1,Stenotrophomonas sp. PAMC25021,Stenotrophomonas sp. PAMC25021
XM_028651129.1,Alternaria arborescens,Alternaria arborescens
XR_005917901.1,Gossypium hirsutum,Gossypium hirsutum (cotton)
CP090355.1,Pseudomonas kribbensis,Pseudomonas kribbensis
CP093280.1,Pseudomonas sp. T1-3-2,Pseudomonas sp. T1-3-2
XR_008229400.1,Lactuca sativa,Lactuca sativa
CP099422.1,Septoria linicola,Septoria linicola (Mycosphaerella linicola)
CP097332.1,Jatrophihabitans telluris,Jatrophihabitans telluris
MZ366777.1,Opuntia x cristalensis,Opuntia x cristalensis
CP033032.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LC597772.1,synthetic construct,synthetic construct
CP046621.1,Pseudomonas alkylphenolica,Pseudomonas alkylphenolica
AK337492.1,Lotus japonicus,Lotus japonicus
CP029773.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LN592517.1,Cyprinus carpio,Cyprinus carpio (common carp)
KT731105.1,Nectria cinnabarina,mitochondrion Nectria cinnabarina
CP060026.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP012831.1,Pseudomonas fluorescens,Pseudomonas fluorescens
MZ747306.1,Stylosanthes hamata,mitochondrion Stylosanthes hamata
CP045221.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP061335.1,Pseudomonas asiatica,Pseudomonas asiatica
XR_008226122.1,Lactuca sativa,Lactuca sativa
CP062251.1,Pseudomonas sp. IzPS59,Pseudomonas sp. IzPS59
HM753662.1,Escherichia phage phiX174,Escherichia phage phiX174
CP077083.1,Pseudomonas salmasensis,Pseudomonas salmasensis
LC597762.1,synthetic construct,synthetic construct
LN590695.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN598136.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_021864693.1,Chenopodium quinoa,Chenopodium quinoa (quinoa)
CP102248.1,Stenotrophomonas sp. CD2,Stenotrophomonas sp. CD2
MK574676.1,Xylaria hypoxylon,mitochondrion Xylaria hypoxylon
MG841956.1,Pinus nigra,Pinus nigra
AP021797.1,Prunus dulcis,Prunus dulcis (almond)
U42784.1,Floerkea proserpinacoides,Floerkea proserpinacoides
MZ366779.1,Opuntia gaumeri,Opuntia gaumeri
XM_019197204.1,Nelumbo nucifera,Nelumbo nucifera (sacred lotus)
OW569313.1,Mercurialis annua,Mercurialis annua (annual mercury)
XR_008226119.1,Lactuca sativa,Lactuca sativa
XM_022886219.1,Durio zibethinus,Durio zibethinus
LM997376.1,Escherichia coli,Escherichia coli
LN590711.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN600047.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF176029.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753670.1,Escherichia phage phiX174,Escherichia phage phiX174
MF426915.1,Synthetic Enterobacteria phage CryptX174,Synthetic Enterobacteria phage CryptX174
OV196177.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
OP723645.1,Lagerstroemia indica,Lagerstroemia indica
XR_002394038.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP102942.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MK176514.1,Phaseolus vulgaris,mitochondrion Phaseolus vulgaris
LN597428.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP107576.1,Pseudomonas asiatica,Pseudomonas asiatica
CP039290.1,Arthrobacter sp. PAMC25564,Arthrobacter sp. PAMC25564
LN594027.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008229401.1,Lactuca sativa,Lactuca sativa
JX163483.1,Chamaecrista fasciculata,Chamaecrista fasciculata
XM_044791335.1,Diaporthe batatas,Diaporthe batatas
LN593234.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG842099.1,Pinus nigra,Pinus nigra
LN591511.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583088.1,Nekemias arborea,Nekemias arborea
XR_002394001.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OM574630.1,Toona ciliata,mitochondrion Toona ciliata
LN596362.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_044654371.1,Mangifera indica,Mangifera indica (mango)
KY538000.1,Gardenia jasminoides,Gardenia jasminoides
XR_005550720.1,Eucalyptus grandis,Eucalyptus grandis
MW583109.1,Vitis flexuosa,Vitis flexuosa
OV197136.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MZ747313.1,Stylosanthes seabrana,mitochondrion Stylosanthes seabrana
XM_044654022.1,Mangifera indica,Mangifera indica (mango)
MZ092003.1,Paenibacillus phage Pd_22F,Paenibacillus phage Pd_22F
CP102374.1,Pseudomonas sp. T8,Pseudomonas sp. T8
CP027753.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
GU476433.1,Kunzea ericoides,Kunzea ericoides
KR559021.1,Heuchera parviflora var. saurensis,mitochondrion Heuchera parviflora var. saurensis
CP008896.1,Pseudomonas fluorescens,Pseudomonas fluorescens
CP023445.1,Actinosynnema pretiosum,Actinosynnema pretiosum
CP097489.1,Pseudomonas sp. BYT-5,Pseudomonas sp. BYT-5
XR_008229497.1,Lactuca sativa,Lactuca sativa
LN594460.1,Cyprinus carpio,Cyprinus carpio (common carp)
KT764096.1,Pinus bungeana,Pinus bungeana
CP065750.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
LN590716.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP077096.1,Pseudomonas wayambapalatensis,Pseudomonas wayambapalatensis
CP002290.1,Pseudomonas putida BIRD-1,Pseudomonas putida BIRD-1
CP087176.1,Pseudomonas sp. B21-040,Pseudomonas sp. B21-040
AP021867.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LC183536.1,Dioon merolae,Dioon merolae
CP097527.1,Pseudomonas putida,Pseudomonas putida
CP048411.1,Pseudomonas sp. MTM4,Pseudomonas sp. MTM4
LN591030.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP076348.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
MN935408.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
MN935412.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
AP024333.1,Erwinia rhapontici,Erwinia rhapontici
CP015202.1,Pseudomonas putida B6-2,Pseudomonas putida B6-2
XR_008229563.1,Lactuca sativa,Lactuca sativa
NC_060491.1,Prunus salicina x Prunus armeniaca,mitochondrion Prunus salicina x Prunus armeniaca
CP065340.1,Pseudomonas lalucatii,Pseudomonas lalucatii
CP093333.1,Pseudomonas simiae,Pseudomonas simiae
OM970792.1,Limnanthes floccosa subsp. grandiflora,Limnanthes floccosa subsp. grandiflora
XM_028912880.1,Prosopis alba,Prosopis alba
LN590688.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP029607.1,Actinosynnema pretiosum subsp. pretiosum,Actinosynnema pretiosum subsp. pretiosum
CP073105.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
XM_044632542.1,Mangifera indica,Mangifera indica (mango)
XM_044807826.1,Cercospora kikuchii,Cercospora kikuchii
